timestamp_event,timestamp_recv,best_bid,best_ask,mid
2026-01-04T23:52:51.407813Z,2026-01-04T23:52:51.380148+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.568432Z,2026-01-04T23:52:51.765276+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.59801Z,2026-01-04T23:52:51.765779+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.657517Z,2026-01-04T23:52:51.766116+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.71541Z,2026-01-04T23:52:51.766223+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.760199Z,2026-01-04T23:52:51.766402+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.784719Z,2026-01-04T23:52:51.787852+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.843413Z,2026-01-04T23:52:51.838694+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.877424Z,2026-01-04T23:52:51.889687+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.971586Z,2026-01-04T23:52:51.932958+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:51.99467Z,2026-01-04T23:52:51.973840+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.260685Z,2026-01-04T23:52:52.751548+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.288914Z,2026-01-04T23:52:52.752005+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.35678Z,2026-01-04T23:52:52.752086+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.407408Z,2026-01-04T23:52:52.752148+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.419572Z,2026-01-04T23:52:52.752192+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.575259Z,2026-01-04T23:52:52.752224+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.600845Z,2026-01-04T23:52:52.752295+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.641311Z,2026-01-04T23:52:52.754033+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.688948Z,2026-01-04T23:52:52.754154+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.764263Z,2026-01-04T23:52:52.754201+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.816385Z,2026-01-04T23:52:52.764717+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.917263Z,2026-01-04T23:52:53.527824+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:52.97534Z,2026-01-04T23:52:53.529231+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:53.00001Z,2026-01-04T23:52:53.529315+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:53.035771Z,2026-01-04T23:52:53.530427+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:53.101911Z,2026-01-04T23:52:53.530451+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:53.171683Z,2026-01-04T23:52:53.530468+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:53.269223Z,2026-01-04T23:52:53.533482+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:53.296119Z,2026-01-04T23:52:53.533589+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:53.338531Z,2026-01-04T23:52:53.534003+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:53.463927Z,2026-01-04T23:52:53.534211+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:53.562521Z,2026-01-04T23:52:53.534270+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:53.77394Z,2026-01-04T23:52:53.724055+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:53.841215Z,2026-01-04T23:52:53.829767+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:53.922723Z,2026-01-04T23:52:53.873297+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.050646Z,2026-01-04T23:52:54.027845+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.096739Z,2026-01-04T23:52:54.075140+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.174546Z,2026-01-04T23:52:54.437319+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.21302Z,2026-01-04T23:52:54.437452+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.289252Z,2026-01-04T23:52:54.437488+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.391563Z,2026-01-04T23:52:54.437571+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.462488Z,2026-01-04T23:52:54.437664+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.507335Z,2026-01-04T23:52:54.544232+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.552715Z,2026-01-04T23:52:54.544425+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.612107Z,2026-01-04T23:52:54.589475+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.649156Z,2026-01-04T23:52:54.614341+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.721985Z,2026-01-04T23:52:54.713989+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.773588Z,2026-01-04T23:52:54.718987+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:54.926478Z,2026-01-04T23:52:54.868998+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:55.051493Z,2026-01-04T23:52:55.018831+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:55.116401Z,2026-01-04T23:52:55.065823+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:55.15856Z,2026-01-04T23:52:55.115877+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:55.205936Z,2026-01-04T23:52:55.238979+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:55.270624Z,2026-01-04T23:52:55.239309+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:55.366079Z,2026-01-04T23:52:55.319273+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:55.401985Z,2026-01-04T23:52:55.367365+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:55.471439Z,2026-01-04T23:52:55.420172+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:55.51494Z,2026-01-04T23:52:55.470270+00:00,91391.83,91391.84,91391.83
2026-01-04T23:52:55.564857Z,2026-01-04T23:52:55.528269+00:00,91388.02,91390.46,91389.24
2026-01-04T23:52:55.616103Z,2026-01-04T23:52:55.571829+00:00,91388.08,91390.43,91389.26
2026-01-04T23:52:55.67533Z,2026-01-04T23:52:55.620289+00:00,91388.16,91390.39,91389.27
2026-01-04T23:52:55.707306Z,2026-01-04T23:52:55.671532+00:00,91388.18,91388.19,91388.18
2026-01-04T23:52:55.764421Z,2026-01-04T23:52:55.761111+00:00,91388.18,91388.19,91388.18
2026-01-04T23:52:55.829861Z,2026-01-04T23:52:55.771455+00:00,91388.26,91389.76,91389.01
2026-01-04T23:52:55.851639Z,2026-01-04T23:52:55.825864+00:00,91388.29,91389.71,91389.00
2026-01-04T23:52:55.918218Z,2026-01-04T23:52:55.874918+00:00,91388.36,91389.70,91389.03
2026-01-04T23:52:55.980854Z,2026-01-04T23:52:55.918205+00:00,91388.52,91389.70,91389.11
2026-01-04T23:52:56.001467Z,2026-01-04T23:52:55.967998+00:00,91388.58,91389.70,91389.14
2026-01-04T23:52:56.034963Z,2026-01-04T23:52:56.016402+00:00,91388.61,91389.70,91389.15
